date,symbol,close,tradecount
3/25/2022,ETH/USDT,3098.09,13512
3/24/2022,ETH/USDT,3110.76,853822
3/23/2022,ETH/USDT,3036,813052
3/22/2022,ETH/USDT,2969.64,920670
3/21/2022,ETH/USDT,2890.03,690648
3/20/2022,ETH/USDT,2861.38,651827
3/19/2022,ETH/USDT,2950.84,556406
3/18/2022,ETH/USDT,2938.92,794774
3/17/2022,ETH/USDT,2811.92,597885
3/16/2022,ETH/USDT,2773.81,1055171
3/15/2022,ETH/USDT,2617.73,686797
3/14/2022,ETH/USDT,2589.41,609122
3/13/2022,ETH/USDT,2515.65,444352
3/12/2022,ETH/USDT,2568.8,327122
3/11/2022,ETH/USDT,2556.86,684407
3/10/2022,ETH/USDT,2606.7,740583
3/9/2022,ETH/USDT,2726.98,840331
3/8/2022,ETH/USDT,2575.97,810958
3/7/2022,ETH/USDT,2491.12,869643
3/6/2022,ETH/USDT,2551.29,528787
3/5/2022,ETH/USDT,2665.15,531829
3/4/2022,ETH/USDT,2622.1,934846
3/3/2022,ETH/USDT,2833.99,770738
3/2/2022,ETH/USDT,2947.3,1050193
3/1/2022,ETH/USDT,2976.33,1237486
2/28/2022,ETH/USDT,2920.95,1203874
2/27/2022,ETH/USDT,2616.79,1149184
2/26/2022,ETH/USDT,2779.47,781683
2/25/2022,ETH/USDT,2768.49,1102014
2/24/2022,ETH/USDT,2596.2,1774038
2/23/2022,ETH/USDT,2579.71,839481
2/22/2022,ETH/USDT,2636.29,1047915
2/21/2022,ETH/USDT,2568.02,1116485
2/20/2022,ETH/USDT,2621.99,615990
2/19/2022,ETH/USDT,2763.63,474447
2/18/2022,ETH/USDT,2779.48,742459
2/17/2022,ETH/USDT,2891.87,840552
2/16/2022,ETH/USDT,3122.3,633447
2/15/2022,ETH/USDT,3183.52,795924
2/14/2022,ETH/USDT,2929.75,607853
2/13/2022,ETH/USDT,2871.13,444540
2/12/2022,ETH/USDT,2918.88,608416
2/11/2022,ETH/USDT,2927.54,912879
2/10/2022,ETH/USDT,3072.49,1039160
2/9/2022,ETH/USDT,3243.94,738015
2/8/2022,ETH/USDT,3116.69,910882
2/7/2022,ETH/USDT,3139.77,898923
2/6/2022,ETH/USDT,3054.99,522276
2/5/2022,ETH/USDT,3012.65,730502
2/4/2022,ETH/USDT,2994.99,1235215
2/3/2022,ETH/USDT,2695.46,726013
2/2/2022,ETH/USDT,2680.67,819863
2/1/2022,ETH/USDT,2787.23,790343
1/31/2022,ETH/USDT,2686.94,814997
1/30/2022,ETH/USDT,2601.68,564478
1/29/2022,ETH/USDT,2601.43,656017
1/28/2022,ETH/USDT,2544.99,884305
1/27/2022,ETH/USDT,2424.25,1029204
1/26/2022,ETH/USDT,2462.99,1384921
1/25/2022,ETH/USDT,2458.83,946366
1/24/2022,ETH/USDT,2439.29,1848889
1/23/2022,ETH/USDT,2539.01,1053655
1/22/2022,ETH/USDT,2412.18,1994513
1/21/2022,ETH/USDT,2568.15,1723216
1/20/2022,ETH/USDT,3001.48,718946
1/19/2022,ETH/USDT,3084.02,647383
1/18/2022,ETH/USDT,3159.85,579484
1/17/2022,ETH/USDT,3209.67,646419
1/16/2022,ETH/USDT,3346.88,495317
1/15/2022,ETH/USDT,3326.04,444485
1/14/2022,ETH/USDT,3307.42,572125
1/13/2022,ETH/USDT,3240.61,666486
1/12/2022,ETH/USDT,3371.26,737196
1/11/2022,ETH/USDT,3239.72,668961
1/10/2022,ETH/USDT,3082.68,935157
1/9/2022,ETH/USDT,3151.97,591523
1/8/2022,ETH/USDT,3080.95,814600
1/7/2022,ETH/USDT,3199.24,1307591
1/6/2022,ETH/USDT,3406.81,1006279
1/5/2022,ETH/USDT,3540.63,962670
1/4/2022,ETH/USDT,3785.11,676651
1/3/2022,ETH/USDT,3765.89,594541
1/2/2022,ETH/USDT,3828.27,450610
1/1/2022,ETH/USDT,3765.54,408666
12/31/2021,ETH/USDT,3676.23,617370
12/30/2021,ETH/USDT,3709.27,583361
12/29/2021,ETH/USDT,3630.19,719559
12/28/2021,ETH/USDT,3792.75,846780
12/27/2021,ETH/USDT,4037.23,557284
12/26/2021,ETH/USDT,4063.56,496076
12/25/2021,ETH/USDT,4094.83,515115
